;track_uri;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;valence;tempo
4043;3DamFFqW32WihKkTVlwTYQ;0.512;0.662;3;-6.797;0.0439;0.0275;0.0;0.472;180.114
4044;34jtsFqKNRSJFa0r6ZRqQh;0.849;0.657;11;-7.509;0.205;0.0463;2.93e-05;0.864;112.682
4045;3bJeHA43408K5auUg8V2kX;0.307;0.716;7;-9.51;0.0286;0.000309;0.000128;0.867;174.482
4046;2VOomzT6VavJOGBeySqaMc;0.707;0.813;11;-4.515;0.0571;0.0863;0.0;0.722;124.921
4047;2dRvMEW4EwySxRUtEamSfG;0.616;0.789;7;-4.874;0.0377;0.053;0.0;0.621;83.066
4048;5k8kLXTx77H5Hiu3QkByg0;0.517;0.561;2;-5.364;0.0351;0.00287;0.0;0.149;139.959
4049;5L5RO8srDgDnWcAAy2v5Br;0.699;0.676;0;-10.269;0.0655;0.428;0.164;0.963;151.393
4050;5XTKO227Jtu81Ni41Fi9Gj;0.539;0.887;2;-6.935;0.037;0.0161;4.18e-06;0.448;100.017
4051;2NJq0uZGXoSdB61HqftYtg;0.2;0.183;7;-19.505;0.0366;0.95;0.806;0.153;106.697
4052;55YKCFgtI47APKO6aAFKs6;0.211;0.981;2;-4.446;0.122;1.03e-05;0.0155;0.234;141.159
4053;7e9pK4O0K8QWWRTK9jS5sW;0.181;0.808;2;-10.722;0.115;0.00575;0.000414;0.439;171.547
4054;17CWwbHJ2ThM5MXj90ObrS;0.525;0.954;6;-7.325;0.0426;0.00131;0.0453;0.635;117.729
4055;20xGCo14PHgTfYHeD2oN6v;0.598;0.173;9;-15.621;0.0351;0.924;0.908;0.132;89.98
4056;4Eya9E3OOY9QCec2ssaG6T;0.223;0.714;1;-4.392;0.04;0.089;0.572;0.234;173.345
4070;44jQNxeMwoD9LtYWACDLw9;0.555;0.364;0;-11.005;0.42;0.89;0.0;0.299;139.902
4071;2QoJg330DERyv1IV0eoO96;0.657;0.241;2;-15.882;0.0452;0.915;0.66;0.626;145.066
4072;0in1XpA7cQaKNFIvaqyXPc;0.598;0.509;4;-11.588;0.0252;0.154;0.0812;0.522;91.886
4073;7oirHdMUls99wW52kNcgfv;0.307;0.718;5;-4.122;0.0457;0.000117;0.0;0.48;78.873
4074;003FTlCpBTM4eSqYSWPv4H;0.553;0.717;7;-5.857;0.0318;6.48e-05;0.128;0.318;127.947
4075;7vb1HJXTK7hR3ug25xtiuY;0.385;0.98;8;-2.764;0.0683;0.00021;0.0034;0.61;165.932
4076;1v5cgIyffYtfEx0swttdoE;0.794;0.627;11;-9.431;0.36;0.233;0.0;0.518;87.554
4077;1qRA5BS78u3gME0loMl9AA;0.653;0.519;2;-10.164;0.0497;0.406;0.0209;0.822;98.883
4078;4m8xMfrgArNl6J7exUKfT1;0.248;0.993;4;-4.43;0.172;1.75e-06;0.871;0.238;110.032
4079;1z3ugFmUKoCzGsI6jdY4Ci;0.624;0.842;5;-5.285;0.0376;0.264;2.11e-05;0.257;111.037
4080;519iK3BrSWhVLhmBlDIP4x;0.561;0.674;1;-8.201;0.0436;0.392;0.000176;0.579;107.974
4081;0GO8y8jQk1PkHzS31d699N;0.56;0.936;3;-5.835;0.0439;0.00847;0.0;0.371;112.96
4082;2D68wN3hwEZFdeui0c5Ar6;0.463;0.62;8;-8.141;0.0301;0.172;2.77e-05;0.259;107.076
4083;4Qc50tVZInib0EQrQl6Ima;0.62;0.818;5;-5.53;0.0364;0.107;0.00381;0.64;145.034
4084;4yyX2Iu4xJjW9xMvBZKSBi;0.538;0.512;4;-4.548;0.0262;0.22;0.0;0.12;144.978
4085;3SUusuA9jH1v6PVwtYMbdv;0.624;0.899;0;-5.709;0.0296;0.0221;0.000137;0.79;104.061
4086;6cyDOCqev5GNDd2CkDUAuJ;0.354;0.695;2;-7.8;0.0598;0.026;0.885;0.803;172.131
4087;5NlqRw45UJuqv2SmMfnQSz;0.516;0.231;9;-15.594;0.0298;0.000643;0.693;0.188;134.977
4088;72hpTHMLFrO4ErhSQl2FhZ;0.592;0.898;9;-5.194;0.0358;0.143;2.29e-06;0.537;118.006
4089;17UNl3uil4LWVBmjVm5p21;0.529;0.866;6;-5.053;0.0391;0.0321;0.00117;0.759;107.545
